timestamp,action,data
2026-01-18T09:47:46.831Z,view_product,"{""productId"": ""item-r1-2"", ""title"": ""Product 2"", ""scene"": ""storeP1Right""}"
2026-01-18T09:47:50.082Z,view_product,"{""productId"": ""item-r1-3"", ""title"": ""Product 3"", ""scene"": ""storeP1Right""}"
2026-01-18T09:47:52.338Z,view_product,"{""productId"": ""item-r1-1"", ""title"": ""Product 1"", ""scene"": ""storeP1Right""}"
2026-01-18T09:49:00.918Z,navigate,"{""fromScene"": ""storeP1Right"", ""toScene"": ""storeP1"", ""timeInPreviousScene"": 149}"
2026-01-18T09:49:03.618Z,navigate,"{""fromScene"": ""storeP1"", ""toScene"": ""storeP1Left"", ""timeInPreviousScene"": 3}"
2026-01-18T09:49:16.924Z,session_start,"{""userAgent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"", ""screenWidth"": 1646, ""screenHeight"": 1029, ""language"": ""en-US"", ""referrer"": ""direct""}"
2026-01-18T09:49:17.174Z,enter_scene,"{""sceneId"": ""storeFront""}"
2026-01-18T09:49:17.213Z,enter_scene,"{""sceneId"": ""storeFront""}"
2026-01-18T09:49:22.370Z,navigate,"{""fromScene"": ""storeFront"", ""toScene"": ""storeP1"", ""timeInPreviousScene"": 5}"
2026-01-18T09:49:26.059Z,navigate,"{""fromScene"": ""storeP1"", ""toScene"": ""storeP1Left"", ""timeInPreviousScene"": 4}"
2026-01-18T09:49:32.281Z,view_product,"{""productId"": ""item-l1-4"", ""title"": ""Product 4"", ""scene"": ""storeP1Left""}"
2026-01-18T09:50:45.055Z,view_product,"{""productId"": ""item-l1-2"", ""title"": ""Product 2"", ""scene"": ""storeP1Left""}"
2026-01-18T09:50:48.350Z,session_start,"{""userAgent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"", ""screenWidth"": 1646, ""screenHeight"": 1029, ""language"": ""en-US"", ""referrer"": ""direct""}"
2026-01-18T09:50:48.571Z,enter_scene,"{""sceneId"": ""storeFront""}"
2026-01-18T09:50:48.615Z,enter_scene,"{""sceneId"": ""storeFront""}"
2026-01-18T09:50:52.139Z,navigate,"{""fromScene"": ""storeFront"", ""toScene"": ""storeP1"", ""timeInPreviousScene"": 4}"
2026-01-18T09:50:55.440Z,navigate,"{""fromScene"": ""storeP1"", ""toScene"": ""storeP1Left"", ""timeInPreviousScene"": 3}"
2026-01-18T09:51:02.378Z,view_product,"{""productId"": ""item-l1-4"", ""title"": ""Product 4"", ""scene"": ""storeP1Left""}"
2026-01-18T09:51:13.727Z,enter_scene,"{""sceneId"": ""storeFront""}"
2026-01-18T09:51:42.205Z,open_cart,"{""scene"": ""storeFront""}"
2026-01-18T09:51:43.724Z,start_checkout,"{""itemCount"": 1, ""items"": [{""id"": ""item-r1-3"", ""title"": ""Product 3"", ""qty"": 1, ""price"": 49.99}], ""total"": 49.99}"
2026-01-18T09:51:57.812Z,session_start,"{""userAgent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"", ""screenWidth"": 1646, ""screenHeight"": 1029, ""language"": ""en-US"", ""referrer"": ""direct""}"
2026-01-18T09:51:58.028Z,enter_scene,"{""sceneId"": ""storeFront""}"
2026-01-18T09:51:58.065Z,enter_scene,"{""sceneId"": ""storeFront""}"
2026-01-18T09:51:58.379Z,complete_checkout,"{""orderNumber"": ""A1J2VOVE"", ""total"": 56.4887, ""sessionDurationAtCheckout"": 1}"
2026-01-18T09:51:58.463Z,complete_checkout,"{""orderNumber"": ""A1J2VOVE"", ""total"": 56.4887, ""sessionDurationAtCheckout"": 1}"
2026-01-18T09:53:02.147Z,session_start,"{""userAgent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"", ""screenWidth"": 1646, ""screenHeight"": 1029, ""language"": ""en-US"", ""referrer"": ""http://localhost:5173/admin.html""}"
2026-01-18T09:53:02.235Z,enter_scene,"{""sceneId"": ""storeFront""}"
2026-01-18T09:53:02.273Z,enter_scene,"{""sceneId"": ""storeFront""}"
2026-01-18T09:53:05.041Z,navigate,"{""fromScene"": ""storeFront"", ""toScene"": ""storeP1"", ""timeInPreviousScene"": 3}"
2026-01-18T09:53:11.357Z,navigate,"{""fromScene"": ""storeP1"", ""toScene"": ""storeP1Left"", ""timeInPreviousScene"": 6}"
2026-01-18T09:53:18.559Z,view_product,"{""productId"": ""item-l1-4"", ""title"": ""Product 4"", ""scene"": ""storeP1Left""}"
2026-01-18T09:53:23.931Z,session_start,"{""userAgent"": ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"", ""screenWidth"": 1646, ""screenHeight"": 1029, ""language"": ""en-US"", ""referrer"": ""http://localhost:5173/admin.html""}"
